;0;1;2;3;4;5
0;0.19938346112040453;0.13290157726368848;0.06648352039980014;0.0664837021813845;0.06648388396445547;0.1993883698025445
1;0.2591997607186013;0.1712576812668565;0.08794654778541497;0.08794691735719232;0.08794728693361467;0.25920980640882413
2;0.31901699637170583;0.20948177192879375;0.1095431769313205;0.10954383065528277;0.10954448439091352;0.31903486330989705
3;0.3788353671926726;0.24762779739865673;0.13122045383525544;0.13122150762804707;0.1312225614461503;0.3788642983994073
4;0.43865507231509787;0.2857242396301107;0.15295114038367313;0.15295272974370244;0.1529543191546078;0.4386988698528745
5;0.49847631089816813;0.32378772923284593;0.17471781122623195;0.1747200911892247;0.17472237123944728;0.4985393361788483
6;0.5582992821293543;0.3618286779923759;0.19651104069104838;0.19651418587992864;0.1965173312178778;0.5583864562655575
7;0.6181241852285012;0.39985398026008984;0.21832439380250876;0.2183285984306642;0.21833280330052843;0.618240989430657
8;0.6779512194516201;0.43786841965214657;0.24015354649496143;0.24015902438087183;0.24016450264088496;0.6781036954667424
9;0.7377805840934858;0.4758754510453313;0.2619955036336326;0.2620024882174256;0.26200947335770797;0.7379753346926861
