;0;1;2;3;4;5
0;7163.727014904052;4775.031889466448;2388.6951254376036;2388.6951254376036;2388.6951254376036;7163.727014904052
1;9312.845119375268;6153.024199312495;3159.8209200627734;3159.8209200627734;3159.8209200627734;9312.845119375268
2;11461.963223846484;7526.2304137902765;3935.7328100562077;3935.7328100562077;3935.7328100562077;11461.963223846484
3;13611.081328317698;8896.558324926536;4714.523003391162;4714.523003391162;4714.523003391162;13611.081328317698
4;15760.199432788913;10265.02130007657;5495.178132712343;5495.178132712343;5495.178132712343;15760.199432788913
5;17909.31753726013;11632.207132779076;6277.110404481055;6277.110404481055;6277.110404481055;17909.31753726013
6;20058.435641731347;12998.480126106964;7059.9555156243805;7059.9555156243805;7059.9555156243805;20058.435641731347
7;22207.553746202564;14364.078059167854;7843.475687034706;7843.475687034706;7843.475687034706;22207.553746202564
8;24356.671850673774;15729.162713892218;8627.509136781558;8627.509136781558;8627.509136781558;24356.671850673774
9;26505.789955145;17093.847984518805;9411.941970626187;9411.941970626187;9411.941970626187;26505.78995514499
