;0;1;2;3;4;5
0;1.05;1.0499662840007866;1.0499494368636813;1.0499606683037732;1.0499550525914048;1.0499157200344036
1;1.05;1.049946295678468;1.0499204036515102;1.0499376650390835;1.0499290343634309;1.0498666972485837
2;1.05;1.049921750140661;1.049884980449588;1.0499094936501145;1.0498972370864235;1.0498067262077693
3;1.05;1.049892647223971;1.0498431673593558;1.0498761540682193;1.0498596607800157;1.0497358063849227
4;1.05;1.0498589867346542;1.0497949641848339;1.049837646106473;1.0498163052565355;1.0496539368400113
5;1.05;1.0498207684486134;1.0497403705738426;1.0497939695067378;1.0497671702151523;1.0495611163611607
6;1.05;1.0497779921113894;1.0496793860702571;1.04974512395708;1.049712255276711;1.0494573435168233
7;1.05;1.0497306574381535;1.0496120101359923;1.0496911090990946;1.0496515599983887;1.0493426166776696
8;1.05;1.0496787641136975;1.0495382421612014;1.0496319245312973;1.0495850838804894;1.0492169340266795
9;1.05;1.049622311792422;1.0494580814693792;1.0495675698108224;1.0495128263698468;1.0490802935641308
